"PK_ID","sID","Race","Ethnicity","Gender","free_reduced_lunch","limited_english_proficiency","treatment","academic_knowledge","parent_time_read","parent_edu","CTOPP_Blend","CTOPP_EL","letter_ID","picture_vocab","passage_comp","word_attack","KBIT_matrices","KBIT_riddles","KBIT_verbal"
10182,3,5,0,0,0,0,1,16,4,3,3,6,13,21,5,3,12,16,16
10183,4,5,0,0,0,0,1,11,3,2,9,0,13,16,4,2,14,11,13
10184,4,3,0,1,0,0,1,8,2,2,0,0,7,14,5,0,6,10,13
10188,4,5,0,0,0,0,1,11,2,3,7,0,13,17,5,1,21,12,18
10189,4,3,0,1,1,0,1,9,2,3,7,6,12,18,4,2,19,13,15
10191,4,5,0,0,0,0,1,15,3,4,8,8,14,21,6,3,15,13,18
10193,4,5,0,1,1,0,1,11,3,3,5,1,8,17,4,1,10,8,9
10194,4,5,0,1,0,0,1,10,3,4,8,8,12,16,2,2,13,14,14
10196,4,5,0,0,0,0,1,16,2,2,8,3,11,16,9,2,12,16,22
10197,4,5,0,1,0,0,1,11,3,3,7,2,7,17,6,3,14,13,14
10199,4,3,0,1,1,0,1,10,3,4,4,2,11,21,6,2,13,10,12
10200,4,5,0,0,0,0,1,14,2,4,5,5,8,18,4,1,15,17,18
10203,4,2,0,1,0,0,1,10,2,5,4,2,14,15,5,2,15,8,15
10204,4,5,0,0,0,0,1,10,3,5,16,5,13,12,5,3,15,9,17
10205,4,3,0,1,0,0,1,11,3,4,8,7,22,19,5,3,12,11,8
10207,4,5,1,0,0,0,1,11,3,4,13,8,25,20,15,6,20,18,19
10208,4,2,0,0,0,0,1,13,1,3,11,8,18,16,11,3,22,14,13
10209,4,3,0,0,1,0,1,9,3,3,7,2,13,14,5,2,13,10,10
10210,4,5,0,1,0,0,1,16,3,4,11,2,16,22,5,3,16,15,21
10213,9,3,0,1,1,0,0,12,1,3,3,0,6,17,4,1,15,11,13
10214,5,3,0,0,1,0,0,10,2,3,2,0,13,15,4,2,12,9,11
10218,5,3,0,0,1,0,0,12,2,4,7,3,11,13,2,1,11,9,18
10219,5,3,0,1,1,0,0,12,3,3,5,3,21,16,5,6,10,11,12
10221,5,3,0,1,0,0,0,11,3,1,6,0,6,7,4,3,12,11,12
10222,5,3,0,0,1,0,0,6,2,2,3,0,2,11,5,1,10,11,12
10225,5,2,0,0,1,0,0,14,3,5,8,6,15,16,6,4,16,12,11
10226,5,3,0,0,1,0,0,11,2,1,3,1,14,16,7,2,14,11,17
10227,5,3,0,0,1,0,0,13,2,2,6,3,13,14,5,3,15,13,18
10228,6,3,0,1,1,0,0,10,3,4,1,0,15,16,3,3,11,9,14
10229,6,3,0,0,1,0,0,11,2,3,3,1,13,18,6,3,17,11,15
10231,6,5,0,1,0,0,0,14,2,4,7,3,13,19,4,3,15,13,17
10232,6,3,0,0,1,0,0,12,3,3,3,0,14,16,5,3,16,12,10
10233,6,3,0,1,0,0,0,12,3,2,6,6,13,16,4,3,17,12,12
10234,6,3,0,0,1,0,0,11,2,1,1,2,9,16,4,1,3,12,13
10235,6,7,0,1,0,1,0,10,3,2,4,1,7,9,5,1,15,6,9
